Rk,Player,Year,Age,Tm,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
674,Bruce Perkins,1991,24,IND,rb,14,1,,3,0.0%,-2,-0.7,0,3,,0.2,-0.1,0,PerkBr00
675,Billy Pricer,1958,24,BAL,fb,12,0,,3,0.0%,14,4.7,0,6,,0.3,1.2,0,PricBi00
676,Ricky Proehl,2006,38,IND,wr,2,1,4,3,75.0%,30,10.0,0,13,7.5,1.5,15.0,0,ProeRi00
677,Bert Rechichar,1953,23,BAL,LDH,11,11,,3,0.0%,151,50.3,2,66,,0.3,13.7,0,RechBe00
678,Willie Richardson,1964,25,BAL,wr,10,2,,3,0.0%,42,14.0,0,16,,0.3,4.2,0,RichWi00
679,Gijon Robinson,2010,26,IND,te,11,2,7,3,42.9%,12,4.0,1,6,1.7,0.3,1.1,0,RobiGi21
680,Freddie Scott,1976,24,BAL,wr,10,0,,3,0.0%,35,11.7,0,18,,0.3,3.5,0,ScotFr01
681,Tim Sherwin,1986,28,IND,te,7,2,,3,0.0%,26,8.7,1,15,,0.4,3.7,0,SherTi00
682,Burrell Shields,1955,26,BAL,hb,8,3,,3,0.0%,27,9.0,0,19,,0.4,3.4,0,ShieBu20
683,Chad Simpson,2008,23,IND,rb,11,0,4,3,75.0%,30,10.0,0,15,7.5,0.3,2.7,1,SimpCh00
684,Chad Simpson,2009,24,IND,rb,14,0,4,3,75.0%,1,0.3,0,5,0.3,0.2,0.1,0,SimpCh00
685,Scott Slutzker,1997,25,IND,te,12,2,7,3,42.9%,22,7.3,0,11,3.1,0.3,1.8,0,SlutSc00
686,Jacob Tamme,2008,23,IND,te,12,0,5,3,60.0%,12,4.0,0,6,2.4,0.3,1.0,0,TammJa00
687,Jacob Tamme,2009,24,IND,te,16,1,10,3,30.0%,35,11.7,0,21,3.5,0.2,2.2,0,TammJa00
688,Ben Utecht,2005,24,IND,te,12,2,12,3,25.0%,59,19.7,2,26,4.9,0.3,4.9,0,UtecBe00
689,Clarence Verdin*,1992,29,IND,wr,16,1,11,3,27.3%,37,12.3,0,21,3.4,0.2,2.3,2,VerdCl00
690,Lamont Warren,1994,21,IND,rb,11,0,5,3,60.0%,47,15.7,0,29,9.4,0.3,4.3,0,WarrLa00
691,Butch Wilson,1966,25,BAL,te,14,0,,3,0.0%,27,9.0,2,11,,0.2,1.9,0,WilsBu00
692,Kris Adams,2012,25,IND,wr,3,0,8,2,25.0%,26,13.0,0,13,3.3,0.7,8.7,0,AdamKr00
693,Aaron Bailey,1994,23,IND,wr,13,0,5,2,40.0%,30,15.0,0,23,6.0,0.2,2.3,0,BailAa00
694,Shannon Baker,1994,23,IND,wr,4,0,2,2,100.0%,15,7.5,0,10,7.5,0.5,3.8,0,BakeSh20
695,Zack Crockett,1995,23,IND,fb,16,0,4,2,50.0%,35,17.5,0,19,8.8,0.1,2.2,0,CrocZa00
696,Clifton Dawson,2007,24,IND,rb,11,0,9,2,22.2%,15,7.5,0,9,1.7,0.2,1.4,0,DawsCl00
697,Brian DeRoo,1980,24,BAL,wr,16,0,,2,0.0%,34,17.0,0,18,,0.1,2.1,0,DeRoBr20
698,Chris Doering,1997,24,IND,wr,2,0,2,2,100.0%,12,6.0,0,8,6.0,1.0,6.0,0,DoerCh00
699,Ashton Dulin,2019,22,IND,wr,13,0,2,2,100.0%,17,8.5,0,13,8.5,0.2,1.3,0,DuliAs00
700,Jerome Felton,2011,25,IND,rb,5,2,2,2,100.0%,16,8.0,0,9,8.0,0.4,3.2,0,FeltJe00
701,Daurice Fountain,2020,25,IND,wr,5,0,3,2,66.7%,23,11.5,0,12,7.7,0.4,4.6,0,FounDa00
702,Ben Hartsock,2005,25,IND,te,7,0,2,2,100.0%,8,4.0,0,7,4.0,0.3,1.1,0,HartBe00
703,Alex Hawkins,1964,27,BAL,hb,14,0,,2,0.0%,42,21.0,1,27,,0.1,3.0,1,HawkAl00
704,Alex Hawkins,1965,28,BAL,wr,14,0,,2,0.0%,32,16.0,1,27,,0.1,2.3,0,HawkAl00
705,Alex Hawkins,1968,31,BAL,fl,10,0,,2,0.0%,31,15.5,0,18,,0.2,3.1,0,HawkAl00
706,Bernard Henry,1985,25,IND,wr,1,1,,2,0.0%,31,15.5,0,16,,2.0,31.0,0,HenrBe00
707,Anthony Hill,2011,26,IND,te,7,2,3,2,66.7%,10,5.0,0,5,3.3,0.3,1.4,0,HillAn00
708,Ronald Humphrey,1995,26,IND,rb,11,0,2,2,100.0%,11,5.5,0,6,5.5,0.2,1.0,1,HumpRo00
709,Dominique Jones,2013,26,IND,te,6,2,3,2,66.7%,34,17.0,0,21,11.3,0.3,5.7,0,JoneDo01
710,Jimmie Kennedy,1975,23,BAL,te,14,0,,2,0.0%,15,7.5,1,12,,0.1,1.1,0,KennJi00
711,Ed Kovac,1960,22,BAL,hb,12,0,,2,0.0%,27,13.5,0,25,,0.2,2.3,1,KovaEd00
712,Marlon Mack,2021,25,IND,rb,6,0,5,2,40.0%,8,4.0,0,7,1.6,0.3,1.3,0,MackMa00
713,Tim Manoa,1991,27,IND,rb,9,5,,2,0.0%,5,2.5,0,5,,0.2,0.6,1,ManoTi00
714,Reese McCall,1982,26,BAL,te,7,0,,2,0.0%,6,3.0,0,4,,0.3,0.9,0,McCaRe00
715,Chris McLemore,1987,24,IND,rb,2,2,,2,0.0%,9,4.5,0,5,,1.0,4.5,1,McLeCh20
716,Walter Murray,1986,24,IND,wr,5,0,,2,0.0%,34,17.0,0,24,,0.4,6.8,0,MurrWa00
717,Don Nottingham,1973,24,BAL,rb,3,3,,2,0.0%,10,5.0,0,5,,0.7,3.3,0,NottDo00
718,Bill Olds,1973,22,BAL,rb,13,1,,2,0.0%,-4,-2.0,0,-1,,0.2,-0.3,0,OldsBi00
719,Dezmon Patmon,2021,23,IND,wr,8,0,4,2,50.0%,21,10.5,1,14,5.3,0.3,2.6,0,PatmDe00
720,Preston Pearson,1968,23,BAL,rb,14,0,,2,0.0%,70,35.0,2,61,,0.1,5.0,2,PearPr00
721,Neal Petties,1964,24,BAL,e,14,0,,2,0.0%,20,10.0,1,15,,0.1,1.4,0,PettNe00
722,Billy Pricer,1959,25,BAL,fb,12,1,,2,0.0%,3,1.5,0,4,,0.2,0.3,1,PricBi00
723,Brad Pyatt,2004,24,IND,wr,8,0,2,2,100.0%,12,6.0,0,7,6.0,0.3,1.5,0,PyatBr00
724,Dominic Rhodes,2004,25,IND,rb,16,0,4,2,50.0%,24,12.0,0,20,6.0,0.1,1.5,2,RhodDo00
725,Mike Roberg,2002,25,IND,te,12,1,4,2,50.0%,17,8.5,1,15,4.3,0.2,1.4,0,RobeMi00
726,Weslye Saunders,2012,23,IND,te,11,4,4,2,50.0%,15,7.5,0,11,3.8,0.2,1.4,0,SaunWe00
727,Tim Sherwin,1981,23,BAL,te,16,2,,2,0.0%,19,9.5,0,11,,0.1,1.2,0,SherTi00
728,Tony Simmons,2001,27,IND,wr,6,0,6,2,33.3%,17,8.5,0,12,2.8,0.3,2.8,0,SimmTo00
729,Holden Smith,1982,24,BAL,wr,3,0,,2,0.0%,36,18.0,0,23,,0.7,12.0,0,SmitHo20
730,Mark Stock,1996,30,IND,wr,14,0,4,2,50.0%,24,12.0,0,13,6.0,0.1,1.7,0,StocMa20
731,Mike Strachan,2021,24,IND,wr,6,0,3,2,66.7%,26,13.0,0,16,8.7,0.3,4.3,0,StraMi03
732,Ross Travis,2017,24,IND,lb,4,0,5,2,40.0%,33,16.5,0,20,6.6,0.5,8.3,0,TravRo00
733,Clarence Verdin,1993,30,IND,wr,16,0,6,2,33.3%,20,10.0,1,19,3.3,0.1,1.3,3,VerdCl00
734,Griff Whalen,2014,24,IND,wr,10,0,3,2,66.7%,23,11.5,0,18,7.7,0.2,2.3,2,WhalGr00
735,Jermaine Wiggins,2002,27,IND,te,3,0,5,2,40.0%,17,8.5,0,9,3.4,0.7,5.7,1,WiggJe00
736,Dick Young,1955,25,BAL,fb,11,0,,2,0.0%,15,7.5,0,11,,0.2,1.4,2,YounDi20
737,Dwayne Allen,2013,23,IND,te,1,1,2,1,50.0%,20,20.0,1,20,10.0,1.0,20.0,0,AlleDw00
738,Don Alley,1967,22,BAL,wr,10,0,,1,0.0%,11,11.0,0,11,,0.1,1.1,0,AlleDo00
739,John Andrews,1973,25,BAL,te,8,1,,1,0.0%,1,1.0,1,1,,0.1,0.1,0,AndrJo00
740,Charles Arbuckle,1994,26,IND,te,7,1,2,1,50.0%,7,7.0,0,7,3.5,0.1,1.0,0,ArbuCh00
741,Brian Baldinger,1988,28,IND,t,16,3,,1,0.0%,37,37.0,0,37,,0.1,2.3,0,BaldBr20
742,Lance Ball,2008,23,IND,rb,1,0,1,1,100.0%,5,5.0,0,5,5.0,1.0,5.0,1,BallLa00
743,Vick Ballard,2013,23,IND,rb,1,1,2,1,50.0%,-5,-5.0,0,-5,-2.5,1.0,-5.0,0,BallVi00
744,Bradford Banta,1995,25,IND,ls,16,2,5,1,20.0%,6,6.0,0,6,1.2,0.1,0.4,0,BantBr00
745,Bradford Banta,1998,28,IND,ls,16,0,2,1,50.0%,7,7.0,0,7,3.5,0.1,0.4,0,BantBr00
746,Jacoby Brissett,2019,27,IND,QB,15,15,1,1,100.0%,2,2.0,0,2,2.0,0.1,0.1,7,BrisJa00
747,Steve Bryant,1987,28,IND,wr,1,0,,1,0.0%,12,12.0,0,12,,1.0,12.0,0,BryaSt00
748,Delone Carter,2012,25,IND,rb,10,0,2,1,50.0%,13,13.0,0,13,6.5,0.1,1.3,1,CartDe01
749,Ran Carthon,2005,24,IND,rb,6,0,1,1,100.0%,10,10.0,0,10,10.0,0.2,1.7,1,CartRa00
750,Kerry Cash,1991,22,IND,te,4,2,,1,0.0%,18,18.0,0,18,,0.3,4.5,0,CashKe01
751,Anthony Castonzo,2014,26,IND,LT,16,16,1,1,100.0%,1,1.0,1,1,1.0,0.1,0.1,0,CastAn00
752,Tashard Choice,2013,29,IND,rb,3,0,1,1,100.0%,5,5.0,0,5,5.0,0.3,1.7,0,ChoiTa00
753,Colin Cloherty,2009,22,IND,te,1,0,1,1,100.0%,2,2.0,0,2,2.0,1.0,2.0,0,ClohCo00
754,James Coley,1991,24,IND,te,7,4,,1,0.0%,13,13.0,0,13,,0.1,1.9,0,ColeJa20
755,Austin Collie,2012,27,IND,wr,1,0,1,1,100.0%,6,6.0,0,6,6.0,1.0,6.0,0,CollAu00
756,Keke Coutee,2021,24,IND,wr,2,0,1,1,100.0%,5,5.0,0,5,5.0,0.5,2.5,0,CoutKe00
757,Josh Cribbs,2014,31,IND,wr,6,0,1,1,100.0%,8,8.0,0,8,8.0,0.2,1.3,2,CribJo01
758,Zack Crockett,1998,26,IND,fb,2,1,2,1,50.0%,1,1.0,0,1,0.5,0.5,0.5,1,CrocZa00
759,Justice Cunningham,2013,22,IND,te,1,0,1,1,100.0%,4,4.0,0,4,4.0,1.0,4.0,0,CunnJu00
760,Mike Curtis,1965,22,BAL,fb,14,0,,1,0.0%,5,5.0,0,5,,0.1,0.4,0,CurtMi00
761,Art DeCarlo,1958,27,BAL,db,12,0,,1,0.0%,10,10.0,0,10,,0.1,0.8,0,DeCaAr00
762,Brian DeRoo,1981,25,BAL,wr,16,0,,1,0.0%,38,38.0,0,38,,0.1,2.4,0,DeRoBr20
763,Zachary Dixon,1983,27,BAL,rb,2,0,,1,0.0%,2,2.0,0,2,,0.5,1.0,0,DixoZa00
764,Chris Doering,1996,23,IND,wr,1,0,1,1,100.0%,10,10.0,0,10,10.0,1.0,10.0,0,DoerCh00
765,Ray Donaldson*,1988,30,IND,C,16,16,,1,0.0%,-3,-3.0,0,-3,,0.1,-0.2,0,DonaRa00
766,Keith Elias,1998,26,IND,rb,13,0,1,1,100.0%,11,11.0,0,11,11.0,0.1,0.8,0,EliaKe00
767,Carlos Etheredge,1994,24,IND,te,9,0,1,1,100.0%,6,6.0,0,6,6.0,0.1,0.7,0,EtheCa20
768,Ben Garry,1980,24,BAL,rb,3,0,,1,0.0%,9,9.0,0,9,,0.3,3.0,1,GarrBe20
769,Tarik Glenn,1997,21,IND,RG,16,16,1,1,100.0%,3,3.0,0,3,3.0,0.1,0.2,0,GlenTa99
770,Scott Greene,1998,26,IND,rb,5,0,1,1,100.0%,2,2.0,0,2,2.0,0.2,0.4,0,GreeSc00
771,Scott Greene,1999,27,IND,rb,5,0,1,1,100.0%,4,4.0,0,4,4.0,0.2,0.8,0,GreeSc00
772,Drew Haddad,2002,24,IND,wr,1,0,1,1,100.0%,11,11.0,0,11,11.0,1.0,11.0,0,HaddDr00
773,Roy Hall,2008,25,IND,wr,4,0,4,1,25.0%,9,9.0,0,9,2.3,0.3,2.3,0,HallRo02
774,Jim Harbaugh*,1995,32,IND,QB,15,12,1,1,100.0%,-9,-9.0,0,-9,-9.0,0.1,-0.6,4,HarbJi00
775,Mike Hart,2008,22,IND,rb,5,0,1,1,100.0%,18,18.0,0,18,18.0,0.2,3.6,1,HartMi00
776,Sam Havrilak,1969,22,BAL,rb,14,0,,1,0.0%,5,5.0,0,5,,0.1,0.4,4,HavrSa00
777,Sam Havrilak,1971,24,BAL,wr,14,0,,1,0.0%,12,12.0,0,12,,0.1,0.9,0,HavrSa00
778,Sam Havrilak,1973,26,BAL,wr,14,0,,1,0.0%,9,9.0,0,9,,0.1,0.6,0,HavrSa00
779,Matt Hazel,2017,25,IND,wr,4,0,1,1,100.0%,1,1.0,0,1,1.0,0.3,0.3,0,HazeMa01
780,Dan Herron,2013,24,IND,rb,6,0,1,1,100.0%,57,57.0,0,57,57.0,0.2,9.5,0,HerrDa00
781,Ryan Hewitt,2018,27,IND,te,12,2,2,1,50.0%,1,1.0,1,1,0.5,0.1,0.1,0,HewiRy00
782,Craig Heyward,1998,32,IND,rb,4,3,1,1,100.0%,9,9.0,0,9,9.0,0.3,2.3,0,HeywCr00
783,Chris Hinton*,1988,27,IND,LT,14,13,,1,0.0%,1,1.0,0,1,,0.1,0.1,0,HintCh00
784,Ken Huff,1981,28,BAL,RG,16,16,,1,0.0%,-1,-1.0,0,-1,,0.1,-0.1,0,HuffKe20
785,Robert Hughes,2012,23,IND,rb,5,1,1,1,100.0%,3,3.0,0,3,3.0,0.2,0.6,0,HughRo00
786,Robert Hughes,2013,24,IND,rb,1,0,2,1,50.0%,6,6.0,0,6,3.0,1.0,6.0,0,HughRo00
787,Charlie Johnson,2008,24,IND,LG/lt,16,16,1,1,100.0%,-2,-2.0,0,-2,-2.0,0.1,-0.1,0,JohnCh23
788,Kelley Johnson,1987,25,IND,wr,3,0,,1,0.0%,15,15.0,0,15,,0.3,5.0,1,JohnKe20
789,Marshall Johnson,1978,26,BAL,wr,15,1,,1,0.0%,22,22.0,0,22,,0.1,1.5,5,JohnMa02
790,Dominique Jones,2012,25,IND,te,4,1,1,1,100.0%,8,8.0,0,8,8.0,0.3,2.0,0,JoneDo01
791,Isaac Jones,1999,24,IND,wr,1,1,3,1,33.3%,8,8.0,0,8,2.7,1.0,8.0,0,JoneIs00
792,Ryan Kelly,2018,25,IND,C,12,12,1,1,100.0%,-4,-4.0,0,-4,-4.0,0.1,-0.3,1,KellRy00
793,Jimmie Kennedy,1976,24,BAL,te,14,0,,1,0.0%,32,32.0,0,32,,0.1,2.3,0,KennJi00
794,Dan Klecko,2006,25,IND,dt,10,0,1,1,100.0%,2,2.0,1,2,2.0,0.1,0.2,0,KlecDa20
795,Barry Krauss,1982,25,BAL,RILB,9,8,,1,0.0%,5,5.0,1,5,,0.1,0.6,0,KrauBa21
796,Roosevelt Leaks,1975,22,BAL,rb,11,0,,1,0.0%,5,5.0,0,5,,0.1,0.5,2,LeakRo00
797,Ron Lee,1976,23,BAL,rb,14,0,,1,0.0%,-9,-9.0,0,-9,,0.1,-0.6,1,LeexRo00
798,Joe Don Looney,1964,22,BAL,fb,13,0,,1,0.0%,1,1.0,1,1,,0.1,0.1,0,LoonJo00
799,Andrew Luck*,2018,29,IND,QB,16,16,2,1,50.0%,4,4.0,0,4,2.0,0.1,0.3,6,LuckAn00
800,Ryan Mahaffey,2011,24,IND,rb,5,0,1,1,100.0%,5,5.0,0,5,5.0,0.2,1.0,0,MahaRy00
801,Peyton Manning*+,2003,27,IND,QB,16,16,1,1,100.0%,-2,-2.0,0,-2,-2.0,0.1,-0.1,6,MannPe00
802,Robbie Martin,1986,28,IND,wr,7,0,,1,0.0%,41,41.0,0,41,,0.1,5.9,4,MartRo20
803,Tom Matte,1961,22,BAL,hb,8,2,,1,0.0%,8,8.0,0,8,,0.1,1.0,0,MattTo00
804,Tom Matte,1970,31,BAL,rb,2,2,,1,0.0%,2,2.0,0,2,,0.5,1.0,0,MattTo00
805,Kevin McDougal,2001,24,IND,rb,9,0,2,1,50.0%,10,10.0,0,10,5.0,0.1,1.1,0,McDoKe01
806,Steve McKinney,2001,26,IND,LG,14,14,1,1,100.0%,5,5.0,0,5,5.0,0.1,0.4,0,McKiSt20
807,Aaron Moorehead,2004,24,IND,wr,7,0,3,1,33.3%,7,7.0,0,7,2.3,0.1,1.0,0,MoorAa00
808,John Mosier,1972,24,BAL,te,14,0,,1,0.0%,53,53.0,0,53,,0.1,3.8,0,MosiJo00
809,James Mungro,2003,25,IND,rb,7,0,5,1,20.0%,-4,-4.0,0,-4,-0.8,0.1,-0.6,0,MungJa00
810,Jim Mutscheller,1954,24,BAL,de,12,3,,1,0.0%,49,49.0,0,49,,0.1,4.1,0,MutsJi00
811,Jim O'Brien,1970,23,BAL,k,14,0,,1,0.0%,28,28.0,0,28,,0.1,2.0,0,OBriJi20
812,Joe Orduna,1974,26,BAL,rb,14,0,,1,0.0%,8,8.0,0,8,,0.1,0.6,0,OrduJo00
813,R.C. Owens,1963,29,BAL,wr,3,0,,1,0.0%,7,7.0,0,7,,0.3,2.3,0,OwenR.00
814,Mike Pagel,1985,25,IND,QB,16,14,,1,0.0%,6,6.0,0,6,,0.1,0.4,6,PageMi00
815,Nathan Palmer,2012,23,IND,wr,5,0,4,1,25.0%,-4,-4.0,0,-4,-1.0,0.2,-0.8,0,PalmNa00
816,Bill Pellington,1955,28,BAL,LLB,12,12,,1,0.0%,10,10.0,0,10,,0.1,0.8,0,PellBi20
817,Bill Pellington,1958,31,BAL,LLB,12,12,,1,0.0%,-1,-1.0,0,-1,,0.1,-0.1,0,PellBi20
818,Danny Pinter,2021,25,IND,g,16,3,1,1,100.0%,2,2.0,1,2,2.0,0.1,0.1,0,PintDa00
819,Mike Prior,1990,27,IND,FS,16,16,,1,0.0%,40,40.0,0,40,,0.1,2.5,1,PrioMi20
820,Mike Prior,1992,29,IND,FS,16,16,1,1,100.0%,17,17.0,0,17,17.0,0.1,1.1,0,PrioMi20
821,Brad Pyatt,2003,23,IND,wr,8,0,1,1,100.0%,2,2.0,0,2,2.0,0.1,0.3,2,PyatBr00
822,David Reed,2013,26,IND,wr,7,0,3,1,33.3%,2,2.0,0,2,0.7,0.1,0.3,0,ReedDa00
823,Dominic Rhodes,2010,31,IND,rb,3,0,4,1,25.0%,4,4.0,0,4,1.0,0.3,1.3,1,RhodDo00
824,Willie Richardson,1965,26,BAL,fl,9,0,,1,0.0%,14,14.0,1,14,,0.1,1.6,0,RichWi00
825,Samson Satele,2013,29,IND,C,13,13,1,1,100.0%,0,0.0,0,0,0.0,0.1,0.0,0,SateSa20
826,William Schultz,1992,25,IND,g,10,2,1,1,100.0%,3,3.0,1,3,3.0,0.1,0.3,0,SchuWi20
827,Dave Sherer,1959,22,BAL,e,12,0,,1,0.0%,9,9.0,0,9,,0.1,0.8,1,SherDa00
828,Don Shula,1953,23,BAL,RDH,12,12,,1,0.0%,6,6.0,0,6,,0.1,0.5,0,ShulDo20
829,Detron Smith,2002,28,IND,rb,11,2,1,1,100.0%,14,14.0,0,14,14.0,0.1,1.3,0,SmitDe00
830,Ollie Smith,1973,24,BAL,wr,7,0,,1,0.0%,37,37.0,0,37,,0.1,5.3,1,SmitOl00
831,Ollie Smith,1974,25,BAL,wr,1,0,,1,0.0%,14,14.0,0,14,,1.0,14.0,1,SmitOl00
832,Mike Sommer,1961,27,BAL,hb,4,1,,1,0.0%,31,31.0,0,31,,0.3,7.8,0,SommMi00
833,Devin Street,2016,25,IND,wr,5,0,6,1,16.7%,20,20.0,0,20,3.3,0.2,4.0,0,StreDe00
834,Dick Szymanski,1961,29,BAL,C,14,14,,1,0.0%,5,5.0,0,5,,0.1,0.4,0,SzymDi00
835,Carl Taseff,1955,27,BAL,RDH,11,10,,1,0.0%,3,3.0,0,3,,0.1,0.3,0,TaseCa20
836,Carl Taseff,1960,32,BAL,db,12,1,,1,0.0%,13,13.0,0,13,,0.1,1.1,0,TaseCa20
837,Ricky Thompson,1976,22,BAL,wr,9,0,,1,0.0%,11,11.0,0,11,,0.1,1.2,0,ThomRi00
838,Ricky Thompson,1977,23,BAL,wr,5,1,,1,0.0%,15,15.0,0,15,,0.2,3.0,0,ThomRi00
839,Reggie Thornton,1991,24,IND,wr,5,0,,1,0.0%,38,38.0,0,38,,0.2,7.6,0,ThorRe20
840,Ed Toner,1993,25,IND,rb,16,1,1,1,100.0%,5,5.0,0,5,5.0,0.1,0.3,0,ToneEd21
841,Robert Turbin,2018,29,IND,rb,2,0,2,1,50.0%,3,3.0,0,3,1.5,0.5,1.5,1,TurbRo00
842,Bake Turner,1962,22,BAL,fl,14,0,,1,0.0%,111,111.0,1,74,,0.1,7.9,1,TurnBa00
843,Johnny Unitas,1956,23,BAL,QB,12,7,,1,0.0%,1,1.0,0,1,,0.1,0.1,4,UnitJo00
844,Ben Utt,1987,28,IND,LG,12,12,,1,0.0%,-4,-4.0,0,-4,,0.1,-0.3,0,UttxBe20
845,Tyler Varga,2015,22,IND,rb,3,0,2,1,50.0%,18,18.0,0,18,9.0,0.3,6.0,0,VargTy00
846,Troy Walters,2004,28,IND,wr,5,0,1,1,100.0%,5,5.0,0,5,5.0,0.2,1.0,0,WaltTr00
847,Ricky Williams,2002,24,IND,rb,10,0,2,1,50.0%,20,20.0,1,20,10.0,0.1,2.0,0,WillRi01
848,Butch Wilson,1965,24,BAL,te,14,0,,1,0.0%,38,38.0,0,38,,0.1,2.7,0,WilsBu00
849,Royce Womble,1955,24,BAL,hb,3,2,,1,0.0%,14,14.0,0,14,,0.3,4.7,0,WombRo00
850,Johnnie Wright,1982,24,BAL,rb,7,0,,1,0.0%,12,12.0,0,12,,0.1,1.7,0,WrigJo21